Gene,R0,R1,R2,R3,R4,R5,R6,R7
GFP001,1,0,0,1,0,1,1,0
UA001,1,1,0,1,0,0,1,0
NTC001,1,0,0,0,0,1,1,1
UA002,1,1,0,0,0,1,1,0
NTC002,1,0,0,1,0,0,1,1
UA003,0,0,1,1,1,1,0,0
GFP002,0,1,1,1,1,0,0,0
UA004,0,0,1,0,1,1,0,1
UA005,0,1,1,0,1,1,0,0
UA006,0,0,1,1,1,0,0,1
NTC003,0,0,0,1,1,1,1,0
UA007,0,1,0,1,1,0,1,0
GFP003,0,0,0,0,1,1,1,1
UA008,0,1,0,0,1,1,1,0
NTC004,0,0,0,1,1,0,1,1
UA009,0,0,1,1,0,1,1,0
UA010,0,1,1,1,0,0,1,0
UA011,0,0,1,0,0,1,1,1
GFP004,0,1,1,0,0,1,1,0
UA012,0,0,1,1,0,0,1,1
UA013,1,0,1,1,0,1,0,0
UA014,1,1,1,1,0,0,0,0
NTC005,1,0,1,0,0,1,0,1
UA015,1,1,1,0,0,1,0,0
GFP005,1,0,1,1,0,0,0,1
